episode,timestep,reward,steps,success
801,128819,328.4399,156,1
802,128986,330.8299,167,1
803,129123,309.13,137,1
804,129220,270.53,97,1
805,129384,320.3599,164,1
806,129447,252.87,63,1
807,129583,289.64,136,1
808,129735,315.4799,152,1
809,129842,279.43,107,1
810,129936,268.06,94,1
811,130046,275.9,110,1
812,130172,299.74,126,1
813,130321,303.01,149,1
814,130380,247.91,59,1
815,130476,274.04,96,1
816,130617,298.09,141,1
817,130784,329.8299,167,1
818,130937,320.9699,153,1
819,130996,245.91,59,1
820,131103,278.43,107,1
821,131199,273.04,96,1
822,131319,289.8,120,1
823,131478,313.9099,159,1
824,131567,267.61,89,1
825,131650,266.6701,83,1
826,131709,252.91,59,1
827,131821,279.88,112,1
828,131933,284.88,112,1
829,132067,291.66,134,1
830,132217,314.4999,150,1
831,132322,276.45,105,1
832,132454,291.68,132,1
833,132607,311.97,153,1
834,132700,273.57,93,1
835,132773,256.77,73,1
836,132958,345.65,185,1
837,133047,265.6101,89,1
838,133201,316.4599,154,1
839,133344,302.07,143,1
840,133411,255.83,67,1
841,133551,307.6,140,1
842,133602,245.99,51,1
843,133715,291.37,113,1
844,133884,324.8099,169,1
845,133947,256.87,63,1
846,134034,263.6301,87,1
847,134096,248.38,62,1
848,134203,282.43,107,1
849,134332,292.21,129,1
850,134478,310.54,146,1
851,134637,326.9099,159,1
852,134808,330.7899,171,1
853,134946,309.6199,138,1
854,135035,270.61,89,1
855,135203,320.32,168,1
856,135278,250.75,75,1
857,135382,290.96,104,1
858,135538,314.44,156,1
859,135639,279.49,101,1
860,135725,273.14,86,1
861,135838,277.37,113,1
862,135970,301.6799,132,1
863,136109,305.11,139,1
864,136170,249.89,61,1
865,136276,273.9401,106,1
866,136404,300.72,128,1
867,136583,331.7099,179,1
868,136736,316.9699,153,1
869,136797,244.89,61,1
870,136896,280.51,99,1
871,136986,275.1,90,1
872,137097,292.39,111,1
873,137234,318.1299,137,1
874,137316,268.18,82,1
875,137406,269.1,90,1
876,137472,252.34,66,1
877,137577,280.45,105,1
878,137692,286.35,115,1
879,137806,294.86,114,1
880,137955,316.01,149,1
881,138065,278.9,110,1
882,138188,295.27,123,1
883,138335,316.0299,147,1
884,138432,276.53,97,1
885,138505,255.77,73,1
886,138694,347.61,189,1
887,138786,267.08,92,1
888,138930,318.5599,144,1
889,139060,305.7,130,1
890,139138,255.22,78,1
891,139275,309.13,137,1
892,139332,243.93,57,1
893,139455,290.27,123,1
894,139615,325.3999,160,1
895,139680,257.85,65,1
896,139759,262.71,79,1
897,139822,247.87,63,1
898,139920,285.02,98,1
899,140048,291.72,128,1
900,140198,310.5,150,1
901,140366,326.3199,168,1
902,140525,330.9099,159,1
903,140675,306.5,150,1
904,140761,271.1401,86,1
905,140905,326.5599,144,1
906,140965,252.4,60,1
907,141085,290.8,120,1
908,141239,314.4599,154,1
909,141339,279.0,100,1
910,141423,273.16,84,1
911,141513,280.1,90,1
912,141637,303.76,124,1
913,141766,305.21,129,1
914,141823,248.93,57,1
915,141918,273.55,95,1
916,142042,299.76,124,1
917,142209,329.8299,167,1
918,142364,320.9499,155,1
919,142417,245.97,53,1
920,142521,278.96,104,1
921,142622,273.49,101,1
922,142725,290.47,103,1
923,142875,316.5,150,1
924,142957,269.18,82,1
925,143044,266.6301,87,1
926,143114,252.3,70,1
927,143209,277.55,95,1
928,143321,284.88,112,1
929,143439,293.82,118,1
930,143582,318.0699,143,1
931,143684,276.98,102,1
932,143804,294.8,120,1
933,143949,311.0499,145,1
934,144037,276.12,88,1
935,144110,254.77,73,1
936,144296,347.14,186,1
937,144390,267.06,94,1
938,144536,316.5399,146,1
939,144662,307.74,126,1
940,144735,256.77,73,1
941,144886,306.99,151,1
942,144944,244.42,58,1
943,145062,287.82,118,1
944,145214,323.4799,152,1
945,145291,255.73,77,1
946,145375,262.1601,84,1
947,145438,248.87,63,1
948,145539,281.49,101,1
949,145660,292.29,121,1
950,145801,311.0899,141,1
951,145978,324.7299,177,1
952,146144,330.3399,166,1
953,146285,310.0899,141,1
954,146367,273.18,82,1
955,146531,323.3599,164,1
956,146589,253.42,58,1
957,146690,291.49,101,1
958,146824,317.66,134,1
959,146923,277.51,99,1
960,147005,272.18,82,1
961,147103,278.02,98,1
962,147240,299.13,137,1
963,147376,305.64,136,1
964,147434,248.42,58,1
965,147525,276.59,91,1
966,147652,302.23,127,1
967,147813,332.8899,161,1
968,147959,321.5399,146,1
969,148020,242.89,61,1
970,148122,275.98,102,1
971,148211,277.61,89,1
972,148323,290.88,112,1
973,148469,316.5399,146,1
974,148553,268.16,84,1
975,148632,268.71,79,1
976,148698,252.34,66,1
977,148796,280.02,98,1
978,148906,284.9,110,1
979,149028,293.78,122,1
980,149173,317.0499,145,1
981,149281,277.92,108,1
982,149410,292.21,129,1
983,149563,310.97,153,1
984,149662,273.51,99,1
985,149726,257.36,64,1
986,149902,348.24,176,1
987,149984,267.18,82,1
988,150131,317.03,147,1
989,150258,305.23,127,1
990,150327,255.81,69,1
991,150460,310.1699,133,1
992,150518,244.42,58,1
993,150636,287.82,118,1
994,150796,323.3999,160,1
995,150871,255.75,75,1
996,150952,261.6901,81,1
997,151008,249.44,56,1
998,151114,282.94,106,1
999,151230,293.84,116,1
1000,151383,310.9699,153,1
1001,151546,326.8699,163,1
1002,151717,330.7899,171,1
1003,151846,310.21,129,1
1004,151932,271.14,86,1
1005,152089,322.9299,157,1
1006,152160,250.79,71,1
1007,152276,290.84,116,1
1008,152413,318.13,137,1
1009,152503,280.1,90,1
1010,152589,271.14,86,1
1011,152687,280.02,98,1
1012,152816,298.21,129,1
1013,152961,305.05,145,1
1014,153027,249.34,66,1
1015,153128,271.49,101,1
1016,153268,300.6,140,1
1017,153435,332.83,167,1
1018,153588,319.9699,153,1
1019,153644,244.44,56,1
1020,153743,278.51,99,1
1021,153837,276.06,94,1
1022,153948,289.39,111,1
1023,154102,316.4599,154,1
1024,154199,268.53,97,1
1025,154280,268.69,81,1
1026,154341,252.89,61,1
1027,154436,278.55,95,1
1028,154552,285.84,116,1
1029,154662,294.9,110,1
1030,154820,310.42,158,1
1031,154922,279.98,102,1
1032,155044,291.78,122,1
1033,155182,313.6199,138,1
1034,155281,275.51,99,1
1035,155347,256.34,66,1
1036,155531,347.16,184,1
